Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  123 0                  0          0          com.apple.kpi.bsd (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    2   19 0                  0          0          com.apple.kpi.dsep (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    3  151 0                  0          0          com.apple.kpi.iokit (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    4    0 0                  0          0          com.apple.kpi.kasan (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    5  157 0                  0          0          com.apple.kpi.libkern (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    6  133 0                  0          0          com.apple.kpi.mach (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    7   84 0                  0          0          com.apple.kpi.private (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    8  100 0                  0          0          com.apple.kpi.unsupported (20.1.0) 84C6DC45-6B02-335F-9439-5D2A9BC385A4 <>
    9    2 0xffffff80031de000 0xe000     0xe000     com.apple.kec.Libm (1) FA774A85-3AB1-3748-86A9-CFE7B09B445B <5>
   10   10 0xffffff80033fc000 0x8d000    0x8d000    com.apple.kec.corecrypto (1.0) 42140686-EB80-38BB-8CDD-E6CFECB83A5A <8 7 6 5 3 1>
   11    0 0xffffff8003490000 0x8000     0x8000     com.apple.kec.pthread (1) 370B9FFE-4A14-3CA7-8908-FD392BC4613E <8 7 6 5 3 1>
   12    1 0xffffff8003552000 0x2000     0x2000     com.apple.driver.watchdog (1) 7948A279-A8B8-3650-AFBF-B1E3EB68942A <8 7 6 5 3 1>
   13   35 0xffffff80026d2000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) 65A1D60D-F9AF-37E7-B854-4127FBB3172A <8 7 5 3>
   14   45 0xffffff8002c17000 0x28000    0x28000    com.apple.iokit.IOPCIFamily (2.9) A18ACD60-A811-3624-B50D-4F929836EE79 <8 7 6 5 3>
   15    9 0xffffff8001890000 0x19000    0x19000    com.apple.driver.AppleSMC (3.1.9) 30ACBB00-67A3-36BD-AF95-1E6F0CB38447 <14 13 12 8 7 6 5 3 1>
