BootArgs: Version=2, Revision=1, at 0xffffff80045ce000
CommandLine: keepsyms=1 -igfxfw=2 igfxfcms=1 alcid=1 chunklist-security-epoch=0 -chunklist-no-rev2-dev
Video: baseAddr=0x90000000, display=1, rowBytes=7680, width=1920, height=1080, depth=32
DevTree: addr=0x45d7000, length=0x13e4
Kernel image: kaddr=0x100000, ksize=0x16ba3000
EFI Runtime: Mode=64, PageStart=0x45d9 (0x45d9000), PageCount=0x126c9, SystemTable=0x45dc000
MemoryMap: Size=0x810, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
RT_data    0000000000000000 - 0000000000000fff 0000000000000001 ffffff80045d9000 800000000000000f
available  0000000000001000 - 0000000000057fff 0000000000000057 0000000000000000 000000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 000000000000000f
available  0000000000059000 - 000000000008ffff 0000000000000037 0000000000000000 000000000000000f
RT_code    0000000000090000 - 0000000000090fff 0000000000000001 ffffff80045da000 800000000000000f
available  0000000000091000 - 000000000009dfff 000000000000000d 0000000000000000 000000000000000f
reserved   000000000009e000 - 000000000009ffff 0000000000000002 0000000000000000 000000000000000f
reserved   00000000000a0000 - 00000000000fffff 0000000000000060 0000000000000000 0000000000000000
LoaderData 0000000000100000 - 00000000045dbfff 00000000000044dc 0000000000000000 000000000000000f
RT_data    00000000045dc000 - 00000000045dcfff 0000000000000001 ffffff80045dc000 800000000000000f
LoaderData 00000000045dd000 - 000000001e8d6fff 000000000001a2fa 0000000000000000 000000000000000f
available  000000001e8d7000 - 000000001f038fff 0000000000000762 0000000000000000 000000000000000f
BS_data    000000001f039000 - 000000001f078fff 0000000000000040 0000000000000000 000000000000000f
available  000000001f079000 - 0000000025e11fff 0000000000006d99 0000000000000000 000000000000000f
BS_data    0000000025e12000 - 000000002a280fff 000000000000446f 0000000000000000 000000000000000f
available  000000002a281000 - 000000002e901fff 0000000000004681 0000000000000000 000000000000000f
BS_data    000000002e902000 - 000000002eb01fff 0000000000000200 0000000000000000 000000000000000f
LoaderCode 000000002eb02000 - 000000002ebb3fff 00000000000000b2 0000000000000000 000000000000000f
BS_data    000000002ebb4000 - 000000002ef75fff 00000000000003c2 0000000000000000 000000000000000f
ACPI_NVS   000000002ef76000 - 000000002ef76fff 0000000000000001 0000000000000000 000000000000000f
RT_data    000000002ef77000 - 000000002ef77fff 0000000000000001 ffffff80045db000 800000000000000f
BS_data    000000002ef78000 - 000000002f028fff 00000000000000b1 0000000000000000 000000000000000f
available  000000002f029000 - 000000002f033fff 000000000000000b 0000000000000000 000000000000000f
LoaderCode 000000002f034000 - 000000002f037fff 0000000000000004 0000000000000000 000000000000000f
LoaderData 000000002f038000 - 000000002f038fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000002f039000 - 0000000036fdafff 0000000000007fa2 0000000000000000 000000000000000f
available  0000000036fdb000 - 0000000037132fff 0000000000000158 0000000000000000 000000000000000f
available  0000000037133000 - 0000000037133fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000037134000 - 0000000037c99fff 0000000000000b66 0000000000000000 000000000000000f
reserved   0000000037c9a000 - 00000000393befff 0000000000001725 0000000000000000 000000000000000f
ACPI_recl  00000000393bf000 - 0000000039448fff 000000000000008a 0000000000000000 000000000000000f
ACPI_NVS   0000000039449000 - 0000000039bfafff 00000000000007b2 0000000000000000 000000000000000f
RT_data    0000000039bfb000 - 000000003b237fff 000000000000163d ffffff80045dd000 800000000000000f
RT_code    000000003b238000 - 000000003b2a1fff 000000000000006a ffffff8005c1a000 800000000000000f
BS_data    000000003b2a2000 - 000000003b2fffff 000000000000005e 0000000000000000 000000000000000f
reserved   000000003b300000 - 000000003b3fffff 0000000000000100 0000000000000000 000000000000000f
reserved   000000003b400000 - 000000003fffffff 0000000000004c00 0000000000000000 0000000000000000
MemMapIO   00000000e0000000 - 00000000efffffff 0000000000010000 ffffff8005c84000 8000000000000000
MemMapIO   00000000fe000000 - 00000000fe010fff 0000000000000011 ffffff8015c84000 8000000000000001
MemMapIO   00000000fec00000 - 00000000fec00fff 0000000000000001 ffffff8015c95000 8000000000000001
MemMapIO   00000000fee00000 - 00000000fee00fff 0000000000000001 ffffff8015c96000 800000000000100d
MemMapIO   00000000ff000000 - 00000000ffffffff 0000000000001000 ffffff8015c97000 800000000000100d
available  0000000100000000 - 00000004beffffff 00000000003bf000 0000000000000000 000000000000000f

